"x_name","z_value","z_name","z_level","beta","lb","ub","p_int","ci width"
"PCB138",NA,"fol.intake3",">1000",1.547,0.4822,2.6117,0.0223,2.1295
"PCB153",NA,"fol.intake3","400-1000",0.112,-0.5154,0.7394,NA,1.2549
"PCB153",NA,"fol.intake3","<400",1.8841,0.2509,3.5174,0.0415,3.2665
"PCB153",NA,"fol.intake3",">1000",1.2675,0.2292,2.3058,0.0507,2.0766
"PCB180",NA,"fol.intake3","400-1000",0.0795,-0.4855,0.6444,NA,1.1299
"PCB180",NA,"fol.intake3","<400",1.7742,0.231,3.3175,0.0373,3.0866
"PCB180",NA,"fol.intake3",">1000",0.8824,-0.0543,1.8192,0.1306,1.8735
"BDE47",NA,"fol.intake3","400-1000",0.0867,-0.3158,0.4892,NA,0.805
"BDE47",NA,"fol.intake3","<400",1.889,0.0583,3.7197,0.0594,3.6613
"BDE47",NA,"fol.intake3",">1000",0.3731,-0.1827,0.9289,0.393,1.1116
"Arsenic",NA,"pl_fol3.t1","10th-80th %ile",-0.1765,-0.842,0.4889,NA,1.3309
"Arsenic",NA,"pl_fol3.t1","<10th %ile",0.6509,-1.5515,2.8533,0.4626,4.4048
"Arsenic",NA,"pl_fol3.t1",">80th %ile",0.7813,-0.1439,1.7065,0.077,1.8504
"Cadmium",NA,"pl_fol3.t1","10th-80th %ile",-0.2714,-0.8772,0.3343,NA,1.2116
"Cadmium",NA,"pl_fol3.t1","<10th %ile",-0.0573,-1.4387,1.3242,0.7691,2.7629
"Cadmium",NA,"pl_fol3.t1",">80th %ile",1.2367,0.4322,2.0413,0.0015,1.6091
"Lead",NA,"pl_fol3.t1","10th-80th %ile",0.3807,-0.4737,1.235,NA,1.7088
"Lead",NA,"pl_fol3.t1","<10th %ile",3.8287,1.3683,6.2891,0.0084,4.9209
"Lead",NA,"pl_fol3.t1",">80th %ile",1.5548,0.1825,2.9271,0.1319,2.7446
"Mercury",NA,"pl_fol3.t1","10th-80th %ile",-0.1944,-0.5859,0.197,NA,0.7829
"Mercury",NA,"pl_fol3.t1","<10th %ile",-0.3913,-1.7033,0.9207,0.7741,2.624
"Mercury",NA,"pl_fol3.t1",">80th %ile",0.3821,-0.326,1.0902,0.1337,1.4162
"β-HCH",NA,"pl_fol3.t1","10th-80th %ile",0.4273,0.0214,0.8331,NA,0.8117
"β-HCH",NA,"pl_fol3.t1","<10th %ile",0.1033,-1.0707,1.2773,0.5998,2.348
"β-HCH",NA,"pl_fol3.t1",">80th %ile",0.3732,-0.2727,1.0191,0.8813,1.2918
"DDE",NA,"pl_fol3.t1","10th-80th %ile",0.3382,-0.1985,0.8748,NA,1.0732
"DDE",NA,"pl_fol3.t1","<10th %ile",0.9625,-0.3519,2.277,0.3603,2.6289
"DDE",NA,"pl_fol3.t1",">80th %ile",-0.1445,-1.2693,0.9803,0.4071,2.2496
"Oxychlordane",NA,"pl_fol3.t1","10th-80th %ile",-0.1578,-0.9499,0.6343,NA,1.5841
"Oxychlordane",NA,"pl_fol3.t1","<10th %ile",-0.9594,-3.2249,1.3062,0.4845,4.531
"Oxychlordane",NA,"pl_fol3.t1",">80th %ile",0.7266,-0.7347,2.1879,0.2447,2.9226
"trans-Nonachlor",NA,"pl_fol3.t1","10th-80th %ile",-0.3492,-1.2667,0.5683,NA,1.835
"trans-Nonachlor",NA,"pl_fol3.t1","<10th %ile",-0.5203,-2.4735,1.4329,0.8603,3.9064
"trans-Nonachlor",NA,"pl_fol3.t1",">80th %ile",-0.0388,-1.5929,1.5152,0.6775,3.1081
"PFHxS",NA,"pl_fol3.t1","10th-80th %ile",0.0457,-0.4252,0.5166,NA,0.9418
"PFHxS",NA,"pl_fol3.t1","<10th %ile",-0.7404,-2.5037,1.0228,0.3776,3.5265
"PFHxS",NA,"pl_fol3.t1",">80th %ile",-0.2714,-1.2683,0.7254,0.5303,1.9936
"PFOS",NA,"pl_fol3.t1","10th-80th %ile",-0.4222,-1.1529,0.3084,NA,1.4613
"PFOS",NA,"pl_fol3.t1","<10th %ile",1.1168,-0.8399,3.0735,0.1342,3.9134
"PFOS",NA,"pl_fol3.t1",">80th %ile",-1.1854,-2.438,0.0671,0.2746,2.5051
"PFOA",NA,"pl_fol3.t1","10th-80th %ile",-0.4316,-1.1272,0.2641,NA,1.3913
"PFOA",NA,"pl_fol3.t1","<10th %ile",-0.804,-2.9671,1.359,0.7368,4.326
"PFOA",NA,"pl_fol3.t1",">80th %ile",-1.1072,-2.3748,0.1604,0.3167,2.5351
"PCB118",NA,"pl_fol3.t1","10th-80th %ile",0.4638,-0.2186,1.1462,NA,1.3648
"PCB118",NA,"pl_fol3.t1","<10th %ile",-0.2848,-2.1645,1.5949,0.4451,3.7594
"PCB118",NA,"pl_fol3.t1",">80th %ile",0.2729,-1.0381,1.584,0.7878,2.6221
"PCB138",NA,"pl_fol3.t1","10th-80th %ile",0.7304,0.095,1.3659,NA,1.2709
"PCB138",NA,"pl_fol3.t1","<10th %ile",0.9203,-0.7744,2.6151,0.8302,3.3895
"PCB138",NA,"pl_fol3.t1",">80th %ile",0.4286,-0.7437,1.6009,0.6305,2.3446
"PCB153",NA,"pl_fol3.t1","10th-80th %ile",0.5854,-0.0359,1.2066,NA,1.2425
"PCB153",NA,"pl_fol3.t1","<10th %ile",0.5844,-1.0917,2.2605,0.9991,3.3521
"PCB153",NA,"pl_fol3.t1",">80th %ile",0.4289,-0.6473,1.5052,0.7888,2.1526
"PCB180",NA,"pl_fol3.t1","10th-80th %ile",0.44,-0.1215,1.0015,NA,1.123
"PCB180",NA,"pl_fol3.t1","<10th %ile",0.3423,-1.2586,1.9433,0.9064,3.2019
"PCB180",NA,"pl_fol3.t1",">80th %ile",0.3034,-0.6408,1.2477,0.7902,1.8886
"BDE47",NA,"pl_fol3.t1","10th-80th %ile",0.466,0.072,0.8601,NA,0.7881
"BDE47",NA,"pl_fol3.t1","<10th %ile",1.1464,-0.1313,2.4241,0.3084,2.5554
"BDE47",NA,"pl_fol3.t1",">80th %ile",-0.5002,-1.2091,0.2087,0.0113,1.4178
