"x_name","beta","lb","ub","p","transformation","class"
"trans-Nonachlor",-0.0970173933988693,-0.591659672569821,0.397624885772083,0.699975523226684,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Organochlorine pesticides"
"PFHxS",-0.0209878468689653,-0.469311389976884,0.427335696238954,0.926758725122064,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Per- and polyfluoroalkyl substances"
"PFHxS",0.0645029049763828,-0.382907656543581,0.511913466496347,0.777132366931164,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Per- and polyfluoroalkyl substances"
"PFOS",-0.511415988179238,-1.15182706849306,0.128995092134581,0.117311027412292,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Per- and polyfluoroalkyl substances"
"PFOS",-0.565001671691678,-1.0125821119282,-0.117421231455152,0.0134546458693099,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Per- and polyfluoroalkyl substances"
"PFOA",-0.846115177550835,-1.48018667135743,-0.212043683744242,0.00900376047240022,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Per- and polyfluoroalkyl substances"
"PFOA",-0.64315545314576,-1.14925634949002,-0.137054556801501,0.0128437800091718,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Per- and polyfluoroalkyl substances"
"PCB118",0.0127483759383796,-0.577347180774877,0.602843932651636,0.966168124758986,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Polychlorinated biphenyls"
"PCB118",-0.0445570216354836,-0.508502022482531,0.419387979211564,0.850444802822424,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Polychlorinated biphenyls"
"PCB138",0.24317170891118,-0.307902028884006,0.794245446706366,0.386458770946489,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Polychlorinated biphenyls"
"PCB138",0.162690348621587,-0.312829601179697,0.638210298422872,0.501853996733025,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Polychlorinated biphenyls"
"PCB153",0.203330268734946,-0.337914286564119,0.744574824034011,0.460892785269685,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Polychlorinated biphenyls"
"PCB153",0.10480741597337,-0.372626101966484,0.582240933913224,0.66649849510402,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Polychlorinated biphenyls"
"PCB180",0.202343750098711,-0.288342945980391,0.693030446177814,0.418278956473295,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Polychlorinated biphenyls"
"PCB180",0.0859302494072046,-0.405719143628765,0.577579642443175,0.731444390707271,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Polychlorinated biphenyls"
"BDE47",0.063777741415087,-0.273095991792993,0.400651474623167,0.710130526262039,"Differenceᵃ in SRS-2 score per two-fold 
increase in chemical concentration","Polybrominated diphenyl ethers"
"BDE47",0.260813154185088,-0.163193943018034,0.68482025138821,0.227350843702142,"Differenceᵃ in SRS-2 score per one-quartile 
increase in chemical concentration","Polybrominated diphenyl ethers"
